id_penginapan,kabupaten,nama_penginapan,rating,harga,jumlah_ulasan,latitude,longitude,google_maps_link
71GA,Kota Yogyakarta,Cordela Kartika Dewi Malioboro Yogyakarta,4.0,328000,4006,-7.79836,110.36189,https://www.google.com/maps/search/Cordela%20Kartika%20Dewi%20Malioboro%20Yogyakarta
CBGP,Kota Yogyakarta,D'Salvatore Art & Boutique Hotel,4.0,266000,2628,-7.783526,110.42571,https://www.google.com/maps/search/D%27Salvatore%20Art%20%26%20Boutique%20Hotel
F858,Kota Yogyakarta,Yellow Star Hotel Ambarrukmo,4.0,313000,3943,-7.783408,110.39769,https://www.google.com/maps/search/Yellow%20Star%20Hotel%20Ambarrukmo
FYXT,Kota Yogyakarta,Malioboro Prime Hotel,4.0,375000,2788,-7.790097,110.36539,https://www.google.com/maps/search/Malioboro%20Prime%20Hotel
5WR4,Kota Yogyakarta,HOM Platinum,3.5,484000,2132,-7.787695,110.3637,https://www.google.com/maps/search/HOM%20Platinum
H92O,Kota Yogyakarta,@HOM Premiere Timoho Jogjakarta,4.5,328000,2132,-7.798264,110.392555,https://www.google.com/maps/search/%40HOM%20Premiere%20Timoho%20Jogjakarta
3MMT,Kota Yogyakarta,Patra Malioboro Hotel,5.0,547000,1512,-7.791959,110.36389,https://www.google.com/maps/search/Patra%20Malioboro%20Hotel
XO9Q,Kota Yogyakarta,Kotta GO Yogyakarta,5.0,281000,1051,-7.782847974,110.3629154,https://www.google.com/maps/search/Kotta%20GO%20Yogyakarta
2X74,Kota Yogyakarta,Hotel Diana Jogja,4.0,266000,800,-7.817791,110.363556,https://www.google.com/maps/search/Hotel%20Diana%20Jogja
AQ9S,Sleman,D'Kaliurang Resort & Convention,4.5,391000,1793,-7.607222,110.41918,https://www.google.com/maps/search/D%27Kaliurang%20Resort%20%26%20Convention
PTNC,Kota Yogyakarta,Yellow Star Hotel Gejayan,4.0,313000,3721,-7.771337,110.38988,https://www.google.com/maps/search/Yellow%20Star%20Hotel%20Gejayan
82DI,Sleman,The Kharma Villas Yogyakarta,4.6,578000,1281,-7.739588,110.36883,https://www.google.com/maps/search/The%20Kharma%20Villas%20Yogyakarta
OF2C,Kota Yogyakarta,Aveta Hotel Malioboro,4.0,391000,3227,-7.793897,110.3658,https://www.google.com/maps/search/Aveta%20Hotel%20Malioboro
D46H,Kota Yogyakarta,Crystal Lotus Yogyakarta,3.5,609000,8095,-7.759364,110.36228,https://www.google.com/maps/search/Crystal%20Lotus%20Yogyakarta
A2R7,Kota Yogyakarta,Grand Senyum Hotel,4.5,328000,2288,-7.782988,110.36539,https://www.google.com/maps/search/Grand%20Senyum%20Hotel
Z85F,Sleman,Griya Persada Convention Hotel & Resort Kaliurang Sleman Yogyakarta,4.0,281000,2997,-7.607022,110.421715,https://www.google.com/maps/search/Griya%20Persada%20Convention%20Hotel%20%26%20Resort%20Kaliurang%20Sleman%20Yogyakarta
4Y1H,Kota Yogyakarta,Paku Mas Hotel,4.0,438000,2412,-7.783692,110.40351,https://www.google.com/maps/search/Paku%20Mas%20Hotel
ZU69,Kota Yogyakarta,Cavinton Hotel,4.0,781000,6745,-7.800629,110.35611,https://www.google.com/maps/search/Cavinton%20Hotel
VT9H,Sleman,Sofia Boutique Residence,4.5,188000,908,-7.741354,110.37059,https://www.google.com/maps/search/Sofia%20Boutique%20Residence
EFMU,Kota Yogyakarta,Hotel Kusuma,4.0,281000,636,-7.754056,110.40897,https://www.google.com/maps/search/Hotel%20Kusuma
V9I3,Kota Yogyakarta,Nueve Malioboro Hotel Yogyakarta,4.0,375000,2209,-7.795935,110.368614,https://www.google.com/maps/search/Nueve%20Malioboro%20Hotel%20Yogyakarta
LH83,Kulon Progo,Cordia Hotel Yogyakarta,4.5,359000,1317,-7.897905,110.05975,https://www.google.com/maps/search/Cordia%20Hotel%20Yogyakarta
