id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
24b70,Bantul, Gua Banyu Nibo,4.1,Wisata Alam,49,-7.9263347,110.445391,https://www.google.com/maps/search/%20Gua%20Banyu%20Nibo,,,,,,,,,,,,
2d9d0,Sleman,Affandi Museum,4.6,Wisata Budaya dan Sejarah,2220,-7.782713,110.396397,https://www.google.com/maps/search/Affandi%20Museum,,,,,,,,,,,,
04bc0,Sleman,Agrowisata Bhumi Merapi,4.5,Wisata Buatan,14094,-7.6400756,110.4264098,https://www.google.com/maps/search/Agrowisata%20Bhumi%20Merapi,,,,,,,,,,,,
92a50,Kulon Progo,AGROWISATA KRISAN GERBOSARI,4.4,Wisata Buatan,385,-7.6779295,110.1728034,https://www.google.com/maps/search/AGROWISATA%20KRISAN%20GERBOSARI,,,,,,,,,,,,
25730,Sleman,Air Terjun curuk Sidoharjo,4.4,Wisata Buatan,670,-7.6699738,110.2019759,https://www.google.com/maps/search/Air%20Terjun%20curuk%20Sidoharjo,,,,,,,,,,,,
35ac0,Bantul,Air Terjun Kedung Manglu,5,Wisata Alam,2,-7.937667,110.408222,https://www.google.com/maps/search/Air%20Terjun%20Kedung%20Manglu,,,,,,,,,,,,
4ca20,Kulon Progo,Air Terjun Kedung Pedut,4.5,Wisata Alam,3874,-7.7699875,110.1210707,https://www.google.com/maps/search/Air%20Terjun%20Kedung%20Pedut,,,,,,,,,,,,
a1b20,Gunungkidul,Air Terjun Lepo,4.2,Wisata Alam,1364,-7.9491299,110.4719945,https://www.google.com/maps/search/Air%20Terjun%20Lepo,,,,,,,,,,,,
a1a00,Gunungkidul,Air Terjun Luweng Sampang,4,Wisata Buatan,878,-7.8090182,110.5727475,https://www.google.com/maps/search/Air%20Terjun%20Luweng%20Sampang,,,,,,,,,,,,
51080,Bantul,Andi Bayou Museum,5,Wisata Budaya dan Sejarah,21,-7.7759703,110.3485938,https://www.google.com/maps/search/Andi%20Bayou%20Museum,,,,,,,,,,,,
e91e0,Kota Yogyakarta,Anjungan Pinguin,4.9,Wisata Buatan,7,-7.8078494,110.3945558,https://www.google.com/maps/search/Anjungan%20Pinguin,,,,,,,,,,,,
e4cf0,Kota Yogyakarta,ARTJOG MMXIX,4.7,Wisata Buatan,558,-7.7996687,110.3533668,https://www.google.com/maps/search/ARTJOG%20MMXIX,,,,,,,,,,,,
d5f60,Bantul,BACKSPACE Art Lab and Museum,5,Wisata Buatan,1,-7.8503547,110.351145,https://www.google.com/maps/search/BACKSPACE%20Art%20Lab%20and%20Museum,,,,,,,,,,,,
e3670,Bantul,Bale Banjar Sangkring,4.6,Wisata Buatan,1229,-7.8122863,110.343125,https://www.google.com/maps/search/Bale%20Banjar%20Sangkring,,,,,,,,,,,,
44ac0,Kota Yogyakarta,Balong Waterpark,4.2,Wisata Buatan,3114,-7.8434924,110.4103899,https://www.google.com/maps/search/Balong%20Waterpark,,,,,,,,,,,,
d4920,Kota Yogyakarta,Bangsal Kencana,4.3,Wisata Budaya dan Sejarah,8,-7.8077158,110.3638489,https://www.google.com/maps/search/Bangsal%20Kencana,,,,,,,,,,,,
6.22E+02,Kota Yogyakarta,Bangsal Magangan,4.7,Wisata Budaya dan Sejarah,224,-7.8087595,110.3637221,https://www.google.com/maps/search/Bangsal%20Magangan,,,,,,,,,,,,
901a0,Sleman,Bangunan Jembatan Merah,4.6,Wisata Budaya dan Sejarah,8,-7.7633465,110.3942161,https://www.google.com/maps/search/Bangunan%20Jembatan%20Merah,,,,,,,,,,,,
97870,Sleman,Batu Papal,4.2,Wisata Alam,633,-7.789479,110.5185664,https://www.google.com/maps/search/Batu%20Papal,,,,,,,,,,,,
fbf60,Gunungkidul,Bengawan Solo Purba,4.5,Wisata Buatan,234,-8.1643385,110.7914309,https://www.google.com/maps/search/Bengawan%20Solo%20Purba,,,,,,,,,,,,
4c080,Kota Yogyakarta,Between Two Gates,4.6,Wisata Budaya dan Sejarah,292,-7.8309782,110.3992208,https://www.google.com/maps/search/Between%20Two%20Gates,,,,,,,,,,,,
4c081,Sleman,Blue Lagoon Jogja,4.3,Wisata Alam,4755,-7.7044358,110.45026,https://www.google.com/maps/search/Blue%20Lagoon%20Jogja,,,,,,,,,,,,
60d90,Sleman,Bukit Bintang,4.5,Wisata Alam,30343,-7.8458407,110.4798457,https://www.google.com/maps/search/Bukit%20Bintang,,,,,,,,,,,,
e9010,Bantul,Bukit Dermo,4.5,Wisata Buatan,207,-7.9600288,110.404778,https://www.google.com/maps/search/Bukit%20Dermo,,,,,,,,,,,,
71ce0,Gunungkidul,bukit indah patuk,5,Wisata Alam,10,-7.8505258,110.4772342,https://www.google.com/maps/search/bukit%20indah%20patuk,,,,,,,,,,,,
a7000,Kulon Progo,BUKIT ISIS,4.5,Wisata Alam,65,-7.6450337,110.1434925,https://www.google.com/maps/search/BUKIT%20ISIS,,,,,,,,,,,,
682b0,Sleman,Bukit Klangon,4.5,Wisata Alam,8701,-7.5768966,110.4548266,https://www.google.com/maps/search/Bukit%20Klangon,,,,,,,,,,,,
8700,Bantul,Bukit Lintang Sewu,4.5,Wisata Alam,3150,-7.9157997,110.4366436,https://www.google.com/maps/search/Bukit%20Lintang%20Sewu,,,,,,,,,,,,
84ae0,Bantul,Bukit Mengger Trimulyo,4.5,Wisata Alam,210,-7.8922101,110.395564,https://www.google.com/maps/search/Bukit%20Mengger%20Trimulyo,,,,,,,,,,,,
91620,Bantul,Bukit Mojo Gumelem,4.2,Wisata Alam,559,-7.9573641,110.4334354,https://www.google.com/maps/search/Bukit%20Mojo%20Gumelem,,,,,,,,,,,,
c5700,Bantul,Bukit Panguk Kediwung,4.5,Wisata Alam,3584,-7.9583695,110.4407622,https://www.google.com/maps/search/Bukit%20Panguk%20Kediwung,,,,,,,,,,,,
8f8c0,Bantul,Bukit Paralayang Watugupit,4.7,Wisata Alam,14288,-8.026589501,110.3458478,https://www.google.com/maps/search/Bukit%20Paralayang%20Watugupit,,,,,,,,,,,,
23020,Gunungkidul,Bukit Pengilon,4.6,Wisata Alam,1405,-8.185458711,110.6917217,https://www.google.com/maps/search/Bukit%20Pengilon,,,,,,,,,,,,
530c0,Gunungkidul,Bukit Teletubbies,4.1,Wisata Alam,1373,-7.8181275,110.511764,https://www.google.com/maps/search/Bukit%20Teletubbies,,,,,,,,,,,,
99770,Bantul,Bukit Watu Gagak,4.6,Wisata Alam,271,-7.9049069,110.3896199,https://www.google.com/maps/search/Bukit%20Watu%20Gagak,,,,,,,,,,,,
d31d0,Bantul,Bukit white stone,5,Wisata Alam,4,-7.9061342,110.4563002,https://www.google.com/maps/search/Bukit%20white%20stone,,,,,,,,,,,,
291d0,Kulon Progo,Bukit Wisata Pulepayung,4.5,Wisata Alam,4894,-7.8001106,110.1238954,https://www.google.com/maps/search/Bukit%20Wisata%20Pulepayung,,,,,,,,,,,,
67de0,Bantul,Bulak Ngebuan View,4.4,Wisata Alam,53,-7.859303,110.3805501,https://www.google.com/maps/search/Bulak%20Ngebuan%20View,,,,,,,,,,,,
d13d0,Kulon Progo,Bumi Perkemahan Goa Kebon,4.7,Wisata Alam,23,-7.8882095,110.1878978,https://www.google.com/maps/search/Bumi%20Perkemahan%20Goa%20Kebon,,,,,,,,,,,,
38b20,Bantul,Bumi Perkemahan Goa Payaman,4.2,Wisata Alam,86,-7.8357697,110.2568342,https://www.google.com/maps/search/Bumi%20Perkemahan%20Goa%20Payaman,,,,,,,,,,,,
22730,Sleman,Camera House Borobudur,4.1,Wisata Budaya dan Sejarah,1373,-7.6244995,110.2027713,https://www.google.com/maps/search/Camera%20House%20Borobudur,,,,,,,,,,,,
191a0,Kota Yogyakarta,Candi Abang,4.2,Wisata Budaya dan Sejarah,1541,-7.8103728,110.468686,https://www.google.com/maps/search/Candi%20Abang,,,,,,,,,,,,
32270,Kota Yogyakarta,Candi Angsa ,4.4,Wisata Budaya dan Sejarah,28,-7.7522876,110.4916501,https://www.google.com/maps/search/Candi%20Angsa%20,,,,,,,,,,,,
6f000,Kota Yogyakarta,Candi Apit,4.7,Wisata Budaya dan Sejarah,27,-7.7515651,110.4914335,https://www.google.com/maps/search/Candi%20Apit,,,,,,,,,,,,
850b0,Kota Yogyakarta,Candi Banyunibo,4.5,Wisata Budaya dan Sejarah,1799,-7.7779014,110.4940734,https://www.google.com/maps/search/Candi%20Banyunibo,,,,,,,,,,,,
38570,Sleman,Candi Barong,4.6,Wisata Alam,703,-7.7756537,110.4973011,https://www.google.com/maps/search/Candi%20Barong,,,,,,,,,,,,
74b30,Kota Yogyakarta,Candi Brahma,4.6,Wisata Budaya dan Sejarah,118,-7.7522757,110.4912209,https://www.google.com/maps/search/Candi%20Brahma,,,,,,,,,,,,
f8f30,Kota Yogyakarta,Candi Bubrah,4.3,Wisata Budaya dan Sejarah,304,-7.7465277,110.4929268,https://www.google.com/maps/search/Candi%20Bubrah,,,,,,,,,,,,
47fe0,Sleman,Candi Card,5,Wisata Budaya dan Sejarah,7,-7.702717,110.4110383,https://www.google.com/maps/search/Candi%20Card,,,,,,,,,,,,
07ac0,Sleman,Candi Dawangsari,4.3,Wisata Budaya dan Sejarah,56,-7.7743486,110.4973873,https://www.google.com/maps/search/Candi%20Dawangsari,,,,,,,,,,,,
54fc0,Gunungkidul,Candi Dengok,4.1,Wisata Budaya dan Sejarah,82,-8.009925,110.607958,https://www.google.com/maps/search/Candi%20Dengok,,,,,,,,,,,,
